NAME1,RA1,DEC1,Z1,PR1,G1,M1,A1,C1,NAME2,RA2,DEC2,Z2,PR2,G2,M2,A2,C2
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0080571826027,0.22816,0.470186067165,J231221.42+143633.8,348.08923,14.609381,0.0162342,79.0,0.603640213777,0.00233005285932,0.241794,0.551049792838
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0080571826027,0.22816,0.470186067165,J130850.11-004902.3,197.2088,-0.81730439,0.0179684,75.0,0.588984562861,0.00355870926213,0.368589,0.5300967071
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0080571826027,0.22816,0.470186067165,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,40.0,0.644219428261,0.00291737002055,0.165497,0.559366095358
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0080571826027,0.22816,0.470186067165,J120003.17+081054.2,180.0132,8.1817218,0.0204227,72.0,0.579445833263,0.00172895139781,0.301685,0.48724598452
J083732.70+284218.7,129.38627,28.705196,0.011585,93.0,0.562566973179,0.0080571826027,0.22816,0.470186067165,J033733.38-063113.6,54.389098,-6.5204569,0.0179105,40.0,0.665320093983,0.00277862666498,0.0769462,0.596854007899
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.00743455955366,0.252723,0.524892767923,J010709.16-003718.1,16.788159,-0.62170676,0.0177396,97.0,0.564131682763,0.00200918286057,0.192177,0.524103243016
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.00743455955366,0.252723,0.524892767923,J100811.56+422507.2,152.04818,42.41868,0.0231346,35.0,0.548498794233,0.00803764734634,0.325045,0.455710080557
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.00743455955366,0.252723,0.524892767923,J231644.67+132858.8,349.18614,13.483008,0.0157717,74.0,0.561706372547,0.00196473168831,0.323451,0.46733795201
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.00743455955366,0.252723,0.524892767923,J133305.34-010208.9,203.27226,-1.035819,0.0123821,49.0,0.639498096633,0.00239369230389,0.172239,0.556446880684
J033013.26-053236.1,52.555265,-5.54335,0.013147,57.0,0.597108286637,0.00743455955366,0.252723,0.524892767923,J135429.16+541950.4,208.6215,54.330661,0.0153381,50.0,0.635854088717,0.00351878574281,0.173915,0.567978995707
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.00446446811023,0.132449,0.565646595135,J100213.84+114120.5,150.55768,11.689017,0.0219842,28.0,0.563674292819,0.0110030661808,0.80542,0.429881821134
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.00446446811023,0.132449,0.565646595135,J111353.24+044806.2,168.47183,4.801718,0.0205503,19.0,0.630818675649,0.00474063841897,0.334276,0.525923774278
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.00446446811023,0.132449,0.565646595135,J085618.72-002629.4,134.07802,-0.44150027,0.0127967,24.0,0.670069821443,0.00470081965084,0.136646,0.539963400024
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.00446446811023,0.132449,0.565646595135,J152645.10+334059.8,231.6879,33.683281,0.0149069,19.0,0.681776209659,0.0046908609333,0.325023,0.554748845734
J094529.37+093610.4,146.37237,9.602897,0.013277,24.0,0.666329640925,0.00446446811023,0.132449,0.565646595135,J012529.13-000326.3,21.371383,-0.057311275,0.0210069,17.0,0.694502102944,0.00371685402414,0.283095,0.58197999969
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.00844302258012,0.417364,0.365771673879,J135314.12+002650.2,208.30882,0.44727438,0.0244875,18.0,0.689892215225,0.00382903073187,0.189794,0.608145100527
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.00844302258012,0.417364,0.365771673879,J121808.09+060822.3,184.53372,6.1395386,0.018479,38.0,0.683909978412,0.00205546128715,0.163463,0.578785112554
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.00844302258012,0.417364,0.365771673879,J092639.80+455049.9,141.66584,45.847185,0.01436,39.0,0.651292803913,0.00530154871939,0.184175,0.575398348189
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.00844302258012,0.417364,0.365771673879,J113252.56+433053.9,173.21901,43.514963,0.0243026,22.0,0.683298059854,0.00674065604024,0.12268,0.481815070578
J155252.84+403848.2,238.22016,40.646728,0.015107,73.0,0.45377855881,0.00844302258012,0.417364,0.365771673879,J153838.50+365730.1,234.66042,36.958355,0.0186078,28.0,0.683802984132,0.00304348232154,0.117492,0.573872347048
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0123619073858,0.30703,0.310075347622,J232327.04+141933.1,350.86267,14.325857,0.0256283,40.0,0.627670527768,0.0048348060153,0.137144,0.532232912238
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0123619073858,0.30703,0.310075347622,J100431.83+380021.7,151.13262,38.006039,0.023162,44.0,0.633948652539,0.00518464859268,0.161544,0.521891605754
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0123619073858,0.30703,0.310075347622,J083726.59+400208.1,129.36079,40.035587,0.0237193,29.0,0.663945199987,0.00450644404716,0.161925,0.545067187869
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0123619073858,0.30703,0.310075347622,J130850.11-004902.3,197.2088,-0.81730439,0.0179684,75.0,0.588984562861,0.00355870926213,0.368589,0.5300967071
J080538.66+261005.5,121.4111,26.16819,0.016953,72.0,0.511458111275,0.0123619073858,0.30703,0.310075347622,J034240.10-062254.6,55.667104,-6.3818355,0.0211967,40.0,0.644219428261,0.00291737002055,0.165497,0.559366095358
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.00232541066933,0.443742,0.562162101083,J101006.19+120214.3,152.52578,12.037308,0.0182782,26.0,0.690383902043,0.00604417603912,0.333724,0.579483807584
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.00232541066933,0.443742,0.562162101083,J085038.82+301031.2,132.66174,30.17534,0.0266193,22.0,0.677306684587,0.00964997566375,0.247649,0.508327354087
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.00232541066933,0.443742,0.562162101083,J134250.16+471513.9,205.70898,47.253863,0.024991,15.0,0.591694062014,0.00522363638756,0.343037,0.521101914276
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.00232541066933,0.443742,0.562162101083,J121326.84-000548.1,183.36183,-0.096700057,0.0209706,24.0,0.569419935451,0.00808813370754,0.381524,0.444840655661
J110233.29-001727.6,165.6387,-0.29101,0.017294,41.0,0.639428072193,0.00232541066933,0.443742,0.562162101083,J094636.06+081034.8,146.65025,8.1763302,0.0258543,16.0,0.652365335195,0.005792572927,0.251305,0.524489429038
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.0071521379705,0.242859,0.504218837634,J113148.60+005147.7,172.95252,0.86325195,0.0253608,28.0,0.518023982149,0.0103876249345,0.433782,0.377840204287
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.0071521379705,0.242859,0.504218837634,J134858.52+033120.9,207.24385,3.5224822,0.0242846,29.0,0.687169935816,0.00416523956103,0.510124,0.584363559091
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.0071521379705,0.242859,0.504218837634,J091835.38+495042.5,139.64741,49.845151,0.027837,19.0,0.55790314234,0.00866638377898,0.437647,0.448022249948
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.0071521379705,0.242859,0.504218837634,J233813.30+143153.0,354.5554,14.531387,0.0231258,15.0,0.658991853692,0.00734104940374,0.355389,0.498543371973
J033458.00-054853.3,53.74168,-5.814796,0.018324,17.0,0.648511672793,0.0071521379705,0.242859,0.504218837634,J094636.06+081034.8,146.65025,8.1763302,0.0258543,16.0,0.652365335195,0.005792572927,0.251305,0.524489429038
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.00843630905386,0.172845,0.513264152995,J110338.36-005208.4,165.90984,-0.86900692,0.0286088,29.0,0.677824093101,0.0278224954739,0.722974,0.395389888799
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.00843630905386,0.172845,0.513264152995,J100213.84+114120.5,150.55768,11.689017,0.0219842,28.0,0.563674292819,0.0110030661808,0.80542,0.429881821134
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.00843630905386,0.172845,0.513264152995,J091835.38+495042.5,139.64741,49.845151,0.027837,19.0,0.55790314234,0.00866638377898,0.437647,0.448022249948
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.00843630905386,0.172845,0.513264152995,J221210.26+135703.6,333.04277,13.950991,0.0278756,29.0,0.833221210096,0.00219076039828,1.0806,0.808802552807
J011059.31+002601.1,17.747137,0.433651,0.018843,15.0,0.683374753027,0.00843630905386,0.172845,0.513264152995,J141547.22+411824.4,213.94675,41.306778,0.0256668,22.0,0.652792001746,0.00860260477868,0.304185,0.532697566081
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J225900.18+132951.7,344.75075,13.497688,0.0287293,29.0,0.725447558726,0.00498956671001,0.476982,0.659103393538
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J111038.86+034519.6,167.66192,3.7554482,0.0254525,19.0,0.685982064805,0.00382929722519,0.334033,0.598216865863
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J082854.33+343906.0,127.22636,34.651656,0.0209219,37.0,0.617114998231,0.00727820810214,0.537085,0.501035878206
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J024440.65-090735.5,41.169379,-9.12654,0.0234751,20.0,0.698421778227,0.00669427386288,0.0943912,0.588576336328
J120114.35-034041.0,180.3098,-3.678067,0.019549,17.0,0.696692761569,0.0037974759089,0.427951,0.5805686681,J130709.78+523247.1,196.79076,52.546409,0.0266821,27.0,0.755374188671,0.00292572533411,0.450394,0.695317993418
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J001947.33+003526.9,4.9472132,0.59079485,0.0177407,21.0,0.686506191563,0.00350753100716,0.363199,0.592409673356
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J102332.53+460328.0,155.88556,46.05777,0.0257652,25.0,0.620184195937,0.003629607387,0.478793,0.534082935766
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J135848.07+045426.9,209.70031,4.9074855,0.0247382,29.0,0.667352212906,0.00779231487395,0.409225,0.556135189618
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J161433.82+414240.5,243.64091,41.711243,0.0264143,24.0,0.704260062471,0.00442966260945,0.19362,0.602013963057
J112536.17+542257.2,171.40069,54.382555,0.020642,15.0,0.685864262774,0.00399181673696,0.286495,0.588436518734,J081956.74+392654.8,124.98643,39.448547,0.0276905,16.0,0.673525711896,0.00519141314933,0.283625,0.586795491958
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J171934.81+563748.1,259.89506,56.630038,0.0273728,21.0,0.702505107189,0.00402054229974,0.217927,0.618112173012
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J111406.32+554239.1,168.52632,55.710872,0.0279428,28.0,0.655484815893,0.00995639089209,0.257319,0.535460047678
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J151944.30+441918.6,229.93459,44.321846,0.0282073,35.0,0.591248287023,0.00440205697757,0.27671,0.467798058736
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J090015.62+401748.4,135.06507,40.296765,0.0289336,65.0,0.491912077391,0.00954035918815,0.499827,0.358887947392
J120257.82+045045.1,180.7409,4.84585,0.020675,91.0,0.419541142326,0.018516449026,0.476156,0.312767977116,J231221.42+143633.8,348.08923,14.609381,0.0162342,79.0,0.603640213777,0.00233005285932,0.241794,0.551049792838
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J114422.81+082315.1,176.09505,8.3875392,0.0199703,23.0,0.632506488138,0.00485973367673,0.235532,0.474755898713
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J145627.95+021224.7,224.11647,2.2068737,0.0288167,28.0,0.699865015121,0.00384047158526,0.339578,0.61074656778
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J091431.31+491657.5,138.63047,49.282628,0.0293311,17.0,0.655803004802,0.00574194679531,0.364346,0.534300711728
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J164106.57+460014.6,250.27736,46.004065,0.0177982,32.0,0.62120873985,0.00807998685897,0.167057,0.409834711945
J111607.65+412353.2,169.03189,41.398105,0.020843,34.0,0.624866619764,0.00375457711158,0.212285,0.539700692803,J090838.46+323534.6,137.16024,32.592954,0.0142966,22.0,0.687805896062,0.0034253086381,0.0526052,0.547986615645
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J132505.37-005411.2,201.27236,-0.90310404,0.0180788,30.0,0.660767293027,0.00374290688838,0.161492,0.557950759894
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J131038.58+611623.6,197.66075,61.273235,0.0313322,27.0,0.574515551436,0.0087446827367,0.387853,0.455876115573
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J121626.72+105342.4,184.11133,10.895111,0.0246112,28.0,0.60838730728,0.00994051996451,0.304498,0.460842447078
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J102813.91+590602.3,157.05795,59.100646,0.0313028,24.0,0.716806171648,0.00599108920251,0.261691,0.631138736226
J114530.26+094344.8,176.37607,9.7291,0.021371,51.0,0.646651098812,0.0022018036188,0.531981,0.577358101591,J004436.94-094600.4,11.153903,-9.7667884,0.0298578,16.0,0.655764092217,0.00644668816803,0.184884,0.593989891447
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085333.60+394537.3,133.39002,39.760373,0.023416,28.0,0.603253864341,0.00305125767621,0.452774,0.471532203486
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J161433.82+414240.5,243.64091,41.711243,0.0264143,24.0,0.704260062471,0.00442966260945,0.19362,0.602013963057
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085837.31+515242.6,134.65545,51.878488,0.0127364,29.0,0.68223369122,0.00262137516931,0.428712,0.577485635662
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J102332.53+460328.0,155.88556,46.05777,0.0257652,25.0,0.620184195937,0.003629607387,0.478793,0.534082935766
J132428.24+044629.6,201.11768,4.774889,0.02143,15.0,0.652262365854,0.00557045273916,0.27831,0.567295020825,J085949.05+050339.1,134.95437,5.0608525,0.0125192,59.0,0.623534869158,0.00525514822036,0.436373,0.378716891893
