NAME1,RA1,DEC1,Z1,NAME2,RA2,DEC2,Z2
J083732.70+284218.7,129.38627,28.705196,0.011585000,J231221.42+143633.8,348.08923,14.609381,0.016234200
J083732.70+284218.7,129.38627,28.705196,0.011585000,J130850.11-004902.3,197.20880,-0.81730439,0.017968400
J083732.70+284218.7,129.38627,28.705196,0.011585000,J034240.10-062254.6,55.667104,-6.3818355,0.021196700
J083732.70+284218.7,129.38627,28.705196,0.011585000,J120003.17+081054.2,180.01320,8.1817218,0.020422700
J083732.70+284218.7,129.38627,28.705196,0.011585000,J033733.38-063113.6,54.389098,-6.5204569,0.017910500
J033013.26-053236.1,52.555265,-5.5433500,0.013147000,J010709.16-003718.1,16.788159,-0.62170676,0.017739600
J033013.26-053236.1,52.555265,-5.5433500,0.013147000,J100811.56+422507.2,152.04818,42.418680,0.023134600
J033013.26-053236.1,52.555265,-5.5433500,0.013147000,J231644.67+132858.8,349.18614,13.483008,0.015771700
J033013.26-053236.1,52.555265,-5.5433500,0.013147000,J133305.34-010208.9,203.27226,-1.0358190,0.012382100
J033013.26-053236.1,52.555265,-5.5433500,0.013147000,J135429.16+541950.4,208.62150,54.330661,0.015338100
J094529.37+093610.4,146.37237,9.6028970,0.013277000,J100213.84+114120.5,150.55768,11.689017,0.021984200
J094529.37+093610.4,146.37237,9.6028970,0.013277000,J111353.24+044806.2,168.47183,4.8017180,0.020550300
J094529.37+093610.4,146.37237,9.6028970,0.013277000,J085618.72-002629.4,134.07802,-0.44150027,0.012796700
J094529.37+093610.4,146.37237,9.6028970,0.013277000,J152645.10+334059.8,231.68790,33.683281,0.014906900
J094529.37+093610.4,146.37237,9.6028970,0.013277000,J012529.13-000326.3,21.371383,-0.057311275,0.021006900
J155252.84+403848.2,238.22016,40.646728,0.015107000,J135314.12+002650.2,208.30882,0.44727438,0.024487500
J155252.84+403848.2,238.22016,40.646728,0.015107000,J121808.09+060822.3,184.53372,6.1395386,0.018479000
J155252.84+403848.2,238.22016,40.646728,0.015107000,J092639.80+455049.9,141.66584,45.847185,0.014360000
J155252.84+403848.2,238.22016,40.646728,0.015107000,J113252.56+433053.9,173.21901,43.514963,0.024302600
J155252.84+403848.2,238.22016,40.646728,0.015107000,J153838.50+365730.1,234.66042,36.958355,0.018607800
J080538.66+261005.5,121.41110,26.168190,0.016953000,J232327.04+141933.1,350.86267,14.325857,0.025628300
J080538.66+261005.5,121.41110,26.168190,0.016953000,J100431.83+380021.7,151.13262,38.006039,0.023162000
J080538.66+261005.5,121.41110,26.168190,0.016953000,J083726.59+400208.1,129.36079,40.035587,0.023719300
J080538.66+261005.5,121.41110,26.168190,0.016953000,J130850.11-004902.3,197.20880,-0.81730439,0.017968400
